TIME,X,Y,Z,ACTION
3884,-1.54,-1.35,8.14,WALKING
3897,-1.47,-1.25,7.70,WALKING
3910,-1.36,-1.07,7.40,WALKING
3923,-1.19,-0.93,7.14,WALKING
3936,-1.02,-0.78,6.96,WALKING
3949,-0.94,-0.65,6.82,WALKING
3964,-0.87,-0.43,6.75,WALKING
3977,-0.69,-0.21,6.76,WALKING
3990,-0.47,0.01,6.83,WALKING
4003,-0.33,0.16,6.99,WALKING
4016,-0.27,0.21,7.25,WALKING
4029,-0.37,0.13,7.54,WALKING
4042,-0.64,-0.02,7.84,WALKING
4055,-0.92,-0.18,8.17,WALKING
4068,-1.09,-0.29,8.63,WALKING
4081,-1.11,-0.17,9.16,WALKING
4094,-1.36,-0.19,9.66,WALKING
4107,-1.60,-0.38,10.08,WALKING
4120,-1.62,-0.41,10.58,WALKING
4133,-1.47,-0.44,10.99,WALKING
4146,-1.48,-0.61,11.32,WALKING
4159,-1.69,-0.82,11.49,WALKING
4174,-1.96,-1.09,11.60,WALKING
4187,-2.15,-1.32,11.62,WALKING
4200,-2.34,-1.53,11.60,WALKING
4213,-2.41,-1.67,11.55,WALKING
4226,-2.35,-1.73,11.44,WALKING
4239,-2.24,-1.76,11.24,WALKING
4252,-2.22,-1.70,10.97,WALKING
4265,-2.09,-1.58,10.70,WALKING
4278,-1.87,-1.36,10.47,WALKING
4291,-1.61,-1.16,10.33,WALKING
4304,-1.38,-0.97,10.17,WALKING
4317,-1.17,-0.76,10.11,WALKING
4330,-0.99,-0.62,10.04,WALKING
4343,-0.82,-0.58,9.90,WALKING
4356,-0.68,-0.57,9.73,WALKING
4369,-0.56,-0.62,9.60,WALKING
4384,-0.45,-0.75,9.36,WALKING
4397,-0.30,-0.84,9.14,WALKING
4410,-0.18,-0.92,8.97,WALKING
4423,-0.09,-1.01,8.80,WALKING
4436,0.04,-1.04,8.68,WALKING
4449,0.22,-1.05,8.63,WALKING
4462,0.36,-1.07,8.60,WALKING
4475,0.44,-1.04,8.69,WALKING
4488,0.48,-1.02,8.77,WALKING
4501,0.56,-1.02,8.86,WALKING
4514,0.63,-1.00,9.00,WALKING
4527,0.66,-1.00,9.11,WALKING
4540,0.64,-1.03,9.26,WALKING
4553,0.64,-1.08,9.40,WALKING
4566,0.67,-1.14,9.59,WALKING
4579,0.67,-1.21,9.78,WALKING
4592,0.68,-1.29,9.95,WALKING
4607,0.63,-1.44,10.17,WALKING
